gbifID	scientificName	decimalLatitude	decimalLongitude	day	month	year	countryCode	stateProvince	DataSetID/Name	Elevation	kingdom	phylum	class	order	family
3962333324	Leptodeira ornata	-2.22479	-79.8718	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Serpentes	Colubridae: Dipsadinae
3962333322	Dendrophidion brunneum	-2.20136	-79.85284	26	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Serpentes	Colubridae: Colubrinae
3962333317	Hemidactylus	-2.22304	-79.87434	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Gekkonidae
3962333316	Hemidactylus	-2.21969	-79.87417	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Gekkonidae
3962333314	Hemidactylus	-2.21868	-79.87656	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Gekkonidae
3962333309	Hemidactylus frenatus	-2.10675	-79.91215	9	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Gekkonidae
3962333305	Hemidactylus	-2.1853	-79.89929	6	6	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Gekkonidae
3962333304	Hemidactylus	-2.22327	-79.87431	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Reptilia	Squamata: Sauria	Gekkonidae
3461681028	Rhinella margaritifera	5.304167	-72.678889	10	6	1997	CO	Boyacá	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	1600.0	Animalia	Chordata	Amphibia	Anura	Bufonidae
3461681025	Rhinella margaritifera	5.304167	-72.678889	10	6	1997	CO	Boyacá	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	1600.0	Animalia	Chordata	Amphibia	Anura	Bufonidae
3461680973	Rheobates palmatus	7.033867	-73.530633	3	8	2019	CO	Santander	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Aromobatidae
3461680962	Dendrobates truncatus	7.042567	-73.538717	5	8	2019	CO	Santander	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Dendrobatidae
3461680959	Dendrobates truncatus	6.951167	-73.551317	8	8	2019	CO	Santander	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Dendrobatidae
3461680953	Engystomops pustulosus	7.043222	-73.538889	4	8	2019	CO	Santander	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Leptodactylidae
3461680948	Engystomops pustulosus	7.043222	-73.538889	6	8	2019	CO	Santander	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Leptodactylidae
3461680865	Craugastor raniformis	7.0629	-73.5571	7	8	2019	CO	Santander	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Craugastoridae
3461680854	Craugastor raniformis	7.0629	-73.5571	7	8	2019	CO	Santander	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Craugastoridae
3461680852	Rheobates palmatus	7.033867	-73.530633	3	8	2019	CO	Santander	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Aromobatidae
3461680851	Rheobates palmatus	7.033867	-73.530633	3	8	2019	CO	Santander	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Aromobatidae
3461680847	Rheobates palmatus	7.033867	-73.530633	3	8	2019	CO	Santander	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Aromobatidae
3461680838	Rheobates palmatus	7.033867	-73.530633	3	8	2019	CO	Santander	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Aromobatidae
3461680794	Scinax garbei	0.468922	-76.595947	22	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Hylidae
3461680792	Dendropsophus reticulatus	0.466386	-76.599253	25	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Hylidae
3461680791	Ameerega hahneli	0.420775	-76.6123	17	11	2019	CO	Putumayo	94dce9c1-e2f0-45cb-a77b-8e5caa871a41	No Info	Animalia	Chordata	Amphibia	Anura	Dendrobatidae
